asset,epoch,timestamp,supply,borrow
usdc,1599264000,2020-09-05,0.06296241763281979,0.09494470682156447
usdc,1599350400,2020-09-06,0.05229899922582848,0.08748611594343382
usdc,1599436800,2020-09-07,0.037493675570450524,0.07550032855468097
usdc,1599523200,2020-09-08,0.030068160963586096,0.06897493780109819
usdc,1599609600,2020-09-09,0.028490874669413833,0.06743650400580459
usdc,1599696000,2020-09-10,0.026674477282258316,0.06561850893902688
usdc,1599782400,2020-09-11,0.02463600221291183,0.06345800955808839
usdc,1599868800,2020-09-12,0.023218465982535776,0.06193804222783796
usdc,1599955200,2020-09-13,0.024223087639438635,0.06306365815179799
usdc,1600041600,2020-09-14,0.027323459279426865,0.06622252981424974
usdc,1600128000,2020-09-15,0.02715611399721223,0.06608613769640881
usdc,1600214400,2020-09-16,0.022807579768256734,0.06152740468235551
usdc,1600300800,2020-09-17,0.02296170208973691,0.06169966958585323
usdc,1600387200,2020-09-18,0.01984026611273462,0.05815566010912695
usdc,1600473600,2020-09-19,0.019158980954900078,0.05735940291680818
usdc,1600560000,2020-09-20,0.01991198891141145,0.0582472308638241
usdc,1600646400,2020-09-21,0.017300720460543654,0.05507817533334143
usdc,1600732800,2020-09-22,0.016787949324898074,0.05444616132060158
usdc,1600819200,2020-09-23,0.016817093431714954,0.05445974162517755
usdc,1600905600,2020-09-24,0.016956348543655672,0.05466266590015654
usdc,1600992000,2020-09-25,0.01684489968643635,0.054516244979762804
usdc,1601078400,2020-09-26,0.01875508802983209,0.056876912542502225
usdc,1601164800,2020-09-27,0.01991567696696473,0.05820778338972986
usdc,1601251200,2020-09-28,0.025301228440797727,0.06418605626203915
usdc,1601337600,2020-09-29,0.02478384751839479,0.06364761831695846
usdc,1601424000,2020-09-30,0.026652389898746853,0.06558221162713808
usdc,1601510400,2020-10-01,0.02860715355347478,0.0675388187170928
usdc,1601596800,2020-10-02,0.02310250821219151,0.061695594354795984
usdc,1601683200,2020-10-03,0.0201434137936234,0.05849226876802048
usdc,1601769600,2020-10-04,0.023887917799068546,0.06262127125571623
usdc,1601856000,2020-10-05,0.03083764772531384,0.0697057887180893
usdc,1601942400,2020-10-06,0.027389754057503934,0.06633105961737637
usdc,1602028800,2020-10-07,0.022227238228178292,0.060877403839715
usdc,1602115200,2020-10-08,0.021535951376078513,0.0600937224663011
usdc,1602201600,2020-10-09,0.01530841208052512,0.04652933804378102
usdc,1602288000,2020-10-10,0.005444569120186787,0.01704066800985847
usdc,1602374400,2020-10-11,0.0054428465187100926,0.017037588075522116
usdc,1602460800,2020-10-12,0.005824012645626332,0.01763310974995318
usdc,1602547200,2020-10-13,0.005128992890493074,0.016542920719867404
usdc,1602633600,2020-10-14,0.005182149696245234,0.016629715784344763
usdc,1602720000,2020-10-15,0.005415029700625239,0.016995909581108637
usdc,1602806400,2020-10-16,0.005848693614862214,0.017673248353501876
usdc,1602892800,2020-10-17,0.005829706853308657,0.017641029144271667
usdc,1602979200,2020-10-18,0.005498822345531777,0.01712998197680045
usdc,1603065600,2020-10-19,0.004749859549475783,0.015916085765685217
usdc,1603152000,2020-10-20,0.004855929169159214,0.01609384180572206
usdc,1603238400,2020-10-21,0.004996964597857869,0.016309727494911042
usdc,1603324800,2020-10-22,0.0056940765157145355,0.017435822314972156
usdc,1603411200,2020-10-23,0.005718237813381429,0.017473350595907593
usdc,1603497600,2020-10-24,0.005269633764245984,0.016764818603949922
usdc,1603584000,2020-10-25,0.005652761885605795,0.017370991413541127
usdc,1603670400,2020-10-26,0.005517051200361031,0.01714814489314523
usdc,1603756800,2020-10-27,0.005783531117625438,0.017562721200823157
usdc,1603843200,2020-10-28,0.006571915399616483,0.018719525054723855
usdc,1603929600,2020-10-29,0.00746202491979243,0.019976706811899843
usdc,1604016000,2020-10-30,0.007539476471766272,0.020080762683315587
usdc,1604102400,2020-10-31,0.009180192309409837,0.022136809952204132
usdc,1604188800,2020-11-01,0.01100487391645253,0.024288167065886834
usdc,1604275200,2020-11-02,0.011414595192304533,0.024740894728717485
usdc,1604361600,2020-11-03,0.01207850708339111,0.02545475185864666
usdc,1604448000,2020-11-04,0.012359791948394322,0.02574484804581383
usdc,1604534400,2020-11-05,0.014824124324247429,0.028208970481221327
usdc,1604620800,2020-11-06,0.01602122367068033,0.029344049950850506
usdc,1604707200,2020-11-07,0.01921434214579827,0.032098733359942656
usdc,1604793600,2020-11-08,0.026213494225532034,0.03757897631009341
usdc,1604880000,2020-11-09,0.02502082299021558,0.03668412367006259
usdc,1604966400,2020-11-10,0.02359627061026816,0.03564680775326807
usdc,1605052800,2020-11-11,0.021960806527226016,0.034385218439943945
usdc,1605139200,2020-11-12,0.023973752321630168,0.03593795120199935
usdc,1605225600,2020-11-13,0.02646642141605818,0.03777146579252482
usdc,1605312000,2020-11-14,0.02913379152160763,0.039644748837987215
usdc,1605398400,2020-11-15,0.026351962092321164,0.03769623358078032
usdc,1605484800,2020-11-16,0.028238171882664018,0.03902061214734896
usdc,1605571200,2020-11-17,0.028893750882256125,0.0394742889588093
usdc,1605657600,2020-11-18,0.036968982389911156,0.048466907435666014
usdc,1605744000,2020-11-19,0.040295419394008096,0.05264248389812483
usdc,1605830400,2020-11-20,0.02612889871546269,0.03752093542360686
usdc,1605916800,2020-11-21,0.02452766262736078,0.03635541125717293
usdc,1606003200,2020-11-22,0.0249608848504614,0.036669996303607004
usdc,1606089600,2020-11-23,0.027349059411826183,0.03838406941119105
usdc,1606176000,2020-11-24,0.03644736816350228,0.04819020733267849
