asset,epoch,timestamp,supply,borrow
link,1626566400,2021-07-18,0.20968329601554736,0.38041098715376886
link,1626652800,2021-07-19,0.19040695068486224,0.3374174530454851
link,1626739200,2021-07-20,0.07094671585086922,0.17622529840020165
link,1626825600,2021-07-21,0.030940905631656326,0.11924409086049062
link,1626912000,2021-07-22,0.017326666995911136,0.09253218048917164
link,1626998400,2021-07-23,0.007110102003271108,0.06330040514430925
link,1627084800,2021-07-24,0.02120584663438804,0.10020515671921675
link,1627171200,2021-07-25,0.019544721913569804,0.09803958723757032
link,1627257600,2021-07-26,0.0257769944189296,0.11047203543717943
link,1627344000,2021-07-27,0.012336486545492832,0.07955429650055974
link,1627430400,2021-07-28,0.012189604666292474,0.07967284052989587
link,1627516800,2021-07-29,0.011386985853453548,0.07715005280369332
link,1627603200,2021-07-30,0.007778495734642452,0.06528800280603661
link,1627689600,2021-07-31,0.0038377673314119068,0.05058407281757624
link,1627776000,2021-08-01,0.004747742957203368,0.05462216380176331
link,1627862400,2021-08-02,0.004249874232363893,0.05246971012410722
link,1627948800,2021-08-03,0.004785159978262999,0.05482194317573303
link,1628035200,2021-08-04,0.005255698187542406,0.05677366195186301
link,1628121600,2021-08-05,0.004082987148449114,0.051730293622623144
link,1628208000,2021-08-06,0.00388732203489868,0.0508106934399199
link,1628294400,2021-08-07,0.0037380761174632886,0.05012661352695219
link,1628380800,2021-08-08,0.0030352301382177383,0.046558506145558815
link,1628467200,2021-08-09,0.005573967649959306,0.05739845615501672
link,1628553600,2021-08-10,0.005372175049205859,0.057170579191393435
link,1628640000,2021-08-11,0.005025558663233736,0.05567109779633879
link,1628726400,2021-08-12,0.005327869182087598,0.056968314251302915
link,1628812800,2021-08-13,0.00624917403719324,0.0606756706816167
link,1628899200,2021-08-14,0.004987505734484595,0.05566178939440292
link,1628985600,2021-08-15,0.0057245504140576026,0.05869906783233514
link,1629072000,2021-08-16,0.006205838076284683,0.06056755203058513
link,1629158400,2021-08-17,0.006204510137292762,0.060563258816989596
link,1629244800,2021-08-18,0.006474375430217182,0.06156782635329029
link,1629331200,2021-08-19,0.006321356433272104,0.06100123785574029
link,1629417600,2021-08-20,0.006333727690480266,0.06105292866294456
link,1629504000,2021-08-21,0.007060983406501263,0.0636142801821469
link,1629590400,2021-08-22,0.0065396684202141345,0.06170869060916339
link,1629676800,2021-08-23,0.0077088678647134505,0.06597807926401998
link,1629763200,2021-08-24,0.007875634181139889,0.06657362918999195
link,1629849600,2021-08-25,0.00828652994592305,0.06794975269722373
link,1629936000,2021-08-26,0.008429859665861739,0.06843454819157647
link,1630022400,2021-08-27,0.009173397833220909,0.07082777888751712
link,1630108800,2021-08-28,0.009510084764825356,0.07156596027367611
link,1630195200,2021-08-29,0.010305440158272542,0.0738106614761157
link,1630281600,2021-08-30,0.008231004324015518,0.06776794875080885
link,1630368000,2021-08-31,0.008268549620803076,0.06784156382398272
link,1630454400,2021-09-01,0.008346835179125359,0.06814355526614493
link,1630540800,2021-09-02,0.008529433637874615,0.06876512300049131
link,1630627200,2021-09-03,0.008466136495989368,0.06855571737926341
link,1630713600,2021-09-04,0.00835744558735818,0.06819669999524375
link,1630800000,2021-09-05,0.008357998158707025,0.06819836531739636
link,1630886400,2021-09-06,0.008037001491780965,0.06711553407456397
link,1630972800,2021-09-07,0.007849189042356541,0.06648470371866115
link,1631059200,2021-09-08,0.007731874853818803,0.0660170578201535
link,1631145600,2021-09-09,0.006237723658609085,0.06053250669614328
link,1631232000,2021-09-10,0.008088481982821515,0.06701618966809056
link,1631318400,2021-09-11,0.0082991757483123,0.06798495270912472
link,1631404800,2021-09-12,0.008408489379796366,0.06836384362852876
link,1631491200,2021-09-13,0.00943521515570613,0.07163653424744859
link,1631577600,2021-09-14,0.008123761895720156,0.06713632850651272
link,1631664000,2021-09-15,0.006193778655424808,0.06051801138051964
link,1631750400,2021-09-16,0.006751297743493472,0.06257760523715851
link,1631836800,2021-09-17,0.007711497652555238,0.06601093006843198
link,1631923200,2021-09-18,0.008971026377058863,0.07018130694099699
link,1632009600,2021-09-19,0.0084135623608184,0.06838215571642385
link,1632096000,2021-09-20,0.0073551731068022584,0.06470641786043754
link,1632182400,2021-09-21,0.006719043523930523,0.062481103986132554
link,1632268800,2021-09-22,0.005602642745052004,0.05812958524823207
link,1632355200,2021-09-23,0.004695023808065547,0.054370738878270965
link,1632441600,2021-09-24,0.005944344404134781,0.05953025098708151
link,1632528000,2021-09-25,0.005678562187969221,0.05852050110690315
link,1632614400,2021-09-26,0.005931547312735308,0.059511114350980825
link,1632700800,2021-09-27,0.010994170622937055,0.07606120783850599
link,1632787200,2021-09-28,0.007645234544710583,0.0656297489658037
link,1632873600,2021-09-29,0.006533706907779687,0.061778508193354106
link,1632960000,2021-09-30,0.005035297295569657,0.055902331631122834
link,1633046400,2021-10-01,0.005093044742926439,0.056142111588755254
link,1633132800,2021-10-02,0.005334829678812937,0.057142287065826594
link,1633219200,2021-10-03,0.005270045171597627,0.05687795596674547
link,1633305600,2021-10-04,0.005211907050216638,0.05663902284983247
link,1633392000,2021-10-05,0.006349472552795687,0.0609031647064852
link,1633478400,2021-10-06,0.007099748805416797,0.06386477150142943
link,1633564800,2021-10-07,0.005502209831815574,0.05775585590747652
link,1633651200,2021-10-08,0.0058319128754431866,0.05912639513081198
link,1633737600,2021-10-09,0.005522423210516521,0.05789893156168268
link,1633824000,2021-10-10,0.0063251494900729375,0.06024761763912961
link,1633910400,2021-10-11,0.004907854940462287,0.055352113659812935
