asset,epoch,timestamp,supply,borrow,supply_ma30,borrow_ma30
dai,1606941841,2020-12-02 20:44:01,0.007134228795663106,0.0075643033878700396,0.0,0.0
dai,1607039606,2020-12-03 23:53:26,0.05134060159291348,0.08651011975770469,0.0,0.0
dai,1607119278,2020-12-04 22:01:18,0.012675369380729887,0.024206827140158507,0.0,0.0
dai,1607212777,2020-12-05 23:59:37,0.020743117566985585,0.030939088992982183,0.0,0.0
dai,1607298893,2020-12-06 23:54:53,0.02971625675913867,0.037812450721444034,0.0,0.0
dai,1607383604,2020-12-07 23:26:44,0.057196498057428095,0.08563387095899973,0.0,0.0
dai,1607471534,2020-12-08 23:52:14,0.02807101999359243,0.03594744436163599,0.0,0.0
dai,1607558393,2020-12-09 23:59:53,0.033731170088846935,0.03996290189746925,0.0,0.0
dai,1607643647,2020-12-10 23:40:47,0.10064215622626874,0.15785713703926596,0.0,0.0
dai,1607728689,2020-12-11 23:18:09,0.03131904921169152,0.03939635453761856,0.0,0.0
dai,1607816952,2020-12-12 23:49:12,0.031443301658291976,0.039651605786744884,0.0,0.0
dai,1607900248,2020-12-13 22:57:28,0.07410484979970658,0.11449879775321782,0.0,0.0
dai,1607989137,2020-12-14 23:38:57,0.05045385580692646,0.0724404847856805,0.0,0.0
dai,1608076644,2020-12-15 23:57:24,0.08350425054233916,0.13365407477055172,0.0,0.0
dai,1608162987,2020-12-16 23:56:27,0.1261641728854021,0.2078309197594387,0.0,0.0
dai,1608249193,2020-12-17 23:53:13,0.06497497950361282,0.08201607793838422,0.0,0.0
dai,1608334811,2020-12-18 23:40:11,0.04056522837121938,0.03627244276584399,0.0,0.0
dai,1608422142,2020-12-19 23:55:42,0.043357465714606705,0.038081572992843045,0.0,0.0
dai,1608508510,2020-12-20 23:55:10,0.10143037423969009,0.16960883278331862,0.0,0.0
dai,1608595030,2020-12-21 23:57:10,0.047840346953144555,0.04239213120088091,0.0,0.0
dai,1608681267,2020-12-22 23:54:27,0.11025864951192992,0.20579036944246173,0.0,0.0
dai,1608767913,2020-12-23 23:58:33,0.042311435175487036,0.03872619579872503,0.0,0.0
dai,1608853740,2020-12-24 23:49:00,0.07571813473810075,0.14316162279013842,0.0,0.0
dai,1608939725,2020-12-25 23:42:05,0.09068676112201293,0.1875916556857598,0.0,0.0
dai,1609027071,2020-12-26 23:57:51,0.04262677324028056,0.03778112799418375,0.0,0.0
dai,1609113392,2020-12-27 23:56:32,0.07227074521676621,0.13884564612085573,0.0,0.0
dai,1609199654,2020-12-28 23:54:14,0.031038490468230793,0.026492129120629072,0.0,0.0
dai,1609285667,2020-12-29 23:47:47,0.038501603254097086,0.033486298574280475,0.0,0.0
dai,1609372017,2020-12-30 23:46:57,0.040933375538048156,0.03850841287474586,0.0,0.0
dai,1609459044,2020-12-31 23:57:24,0.044285242383280014,0.03986557957347277,0.07401607389514513,0.1177573330333368
dai,1609544371,2021-01-01 23:39:31,0.12052264118167834,0.23785928670518935,0.07768208038549104,0.12452080126263984
dai,1609631908,2021-01-02 23:58:28,0.18759717937145673,0.4368372062157325,0.08164987970768207,0.13348238659929215
dai,1609716848,2021-01-03 23:34:08,0.08406010307702896,0.1445276449766369,0.08248238463718512,0.13493596472063712
dai,1609804401,2021-01-04 23:53:21,0.0560113436876549,0.03958164747771174,0.08306261701932816,0.13680588260595025
dai,1609889245,2021-01-05 23:27:25,0.04811934061613964,0.03983275793097083,0.08201247518436912,0.13376325833646913
dai,1609976231,2021-01-06 23:37:11,0.07890330521559683,0.10598127034789576,0.08170208638191216,0.1331034402310488
dai,1610063782,2021-01-07 23:56:22,0.08124827360384064,0.11136334593416236,0.07982223656263487,0.12956168730351456
dai,1610150199,2021-01-08 23:56:39,0.16117150775128625,0.33088253656630773,0.08187383501756353,0.13383011890815263
dai,1610235619,2021-01-09 23:40:19,0.09060359528835182,0.17213273330055667,0.08311369623488496,0.1352765806062768
dai,1610322753,2021-01-10 23:52:33,0.05421520448305439,0.03821245463205008,0.08363354315404609,0.13569633720281377
dai,1610409465,2021-01-11 23:57:45,0.04538568675293158,0.03303778854052384,0.08385916490626896,0.13498859819079215
dai,1610495468,2021-01-12 23:51:08,0.05102277176018146,0.03728909698116396,0.0840455514329616,0.1340958993795072
dai,1610581808,2021-01-13 23:50:08,0.07382263283718134,0.11309060305060048,0.0840218928182856,0.13365098892417457
dai,1610668698,2021-01-14 23:58:18,0.13806042877729094,0.27732386581487334,0.0885266480804184,0.14437156760517167
dai,1610755070,2021-01-15 23:57:50,0.09491166173523925,0.17090417726866583,0.08759305111248,0.14255046563359247
dai,1610841564,2021-01-16 23:59:24,0.08618274345899127,0.13979346230105688,0.0862808993465112,0.14035045987872288
dai,1610927864,2021-01-17 23:57:44,0.10234290136179894,0.17989388815544305,0.08586183220104383,0.14002112180878704
dai,1611014095,2021-01-18 23:54:55,0.08439753418635466,0.13871739322586374,0.0861633534051216,0.14060828521337615
dai,1611100346,2021-01-19 23:52:26,0.05708763987878332,0.049910711577232286,0.0858200412302712,0.1402430671587787
dai,1611186909,2021-01-20 23:55:09,0.1103038500494704,0.22746986601115132,0.08622022524240527,0.141492536100432
dai,1611273564,2021-01-21 23:59:24,0.06421922558210841,0.06894177693837915,0.0883618341831,0.14784141459427633
dai,1611359948,2021-01-22 23:59:08,0.0730087900583309,0.0994169002975282,0.08910759708189504,0.149256815124276
dai,1611445937,2021-01-23 23:52:17,0.06563996084532003,0.07191219632452885,0.0915866555143896,0.15648647194313425
