asset,epoch,timestamp,supply,borrow,supply_ma30,borrow_ma30
link,1606926522,2020-12-02 16:28:42,8.06231032e-12,1.25206687135979e-06,0.0,0.0
link,1607039457,2020-12-03 23:50:57,2.309020777e-11,2.11890599641086e-06,0.0,0.0
link,1607125872,2020-12-04 23:51:12,2.13713437311e-09,2.03851393392797e-05,0.0,0.0
link,1607212789,2020-12-05 23:59:49,7.4489302675e-10,1.203496201730022e-05,0.0,0.0
link,1607296715,2020-12-06 23:18:35,1.30784965658493e-06,0.0005042857323894005,0.0,0.0
link,1607383557,2020-12-07 23:25:57,1.12164320528566e-06,0.00046700887562942177,0.0,0.0
link,1607471413,2020-12-08 23:50:13,1.290323803686e-06,0.0005008954932530014,0.0,0.0
link,1607552699,2020-12-09 22:24:59,7.71038677126525e-06,0.0012244353278921941,0.0,0.0
link,1607644233,2020-12-10 23:50:33,1.582870393945071e-05,0.0011113995545685566,0.0,0.0
link,1607724346,2020-12-11 22:05:46,2.28234173916974e-05,0.0011526381297892547,0.0,0.0
link,1607813179,2020-12-12 22:46:19,5.66260277980766e-06,0.0008733952119143713,0.0,0.0
link,1607899104,2020-12-13 22:38:24,7.06132804275713e-06,0.0010713796791092995,0.0,0.0
link,1607988602,2020-12-14 23:30:02,8.82353336772346e-06,0.0010739632528335354,0.0,0.0
link,1608075973,2020-12-15 23:46:13,8.99085313087871e-06,0.0010959427781497332,0.0,0.0
link,1608162650,2020-12-16 23:50:50,5.65410540592888e-06,0.0010290217061320374,0.0,0.0
link,1608249473,2020-12-17 23:57:53,4.10322276717587e-06,0.0008720117289776789,0.0,0.0
link,1608335015,2020-12-18 23:43:35,2.0903798839216e-06,0.0006076927077412011,0.0,0.0
link,1608419151,2020-12-19 23:05:51,2.90308924721138e-06,0.0007249535467010483,0.0,0.0
link,1608508400,2020-12-20 23:53:20,5.05391435467987e-06,0.0009515460148035188,0.0,0.0
link,1608593678,2020-12-21 23:34:38,3.02292722958405e-06,0.0007128120805196448,0.0,0.0
link,1608677206,2020-12-22 22:46:46,4.97990509141873e-06,0.0009428422686536547,0.0,0.0
link,1608767859,2020-12-23 23:57:39,1.115285689291352e-05,0.001450969224079697,0.0,0.0
link,1608853327,2020-12-24 23:42:07,6.22145544970166e-06,0.0010724699755438973,0.0,0.0
link,1608937326,2020-12-25 23:02:06,3.49777932807435e-06,0.0007875734114844678,0.0,0.0
link,1609025091,2020-12-26 23:24:51,8.70361305251174e-06,0.0012783963170177326,0.0,0.0
link,1609111070,2020-12-27 23:17:50,7.10975795402011e-06,0.001151528786531572,0.0,0.0
link,1609199577,2020-12-28 23:52:57,4.80239162462965e-06,0.0009365707771793515,0.0,0.0
link,1609284401,2020-12-29 23:26:41,0.000219369475589719,0.0017897992601170545,0.0,0.0
link,1609372496,2020-12-30 23:54:56,0.0037773085816108745,0.02675044127763143,0.0,0.0
link,1609458008,2020-12-31 23:40:08,0.002079079299808565,0.019793500233263497,0.0,0.0
link,1609544435,2021-01-01 23:40:35,0.0014471082819685782,0.015068422957963864,0.00051340112222544,0.00318981976330176
link,1609628773,2021-01-02 23:06:13,0.0018887198905859258,0.01823546546681015,0.00056986375909536,0.00353790168782688
link,1609717932,2021-01-03 23:52:12,0.0009327970061031735,0.01179067149304486,0.0006103588635936,0.00400290246069696
link,1609801845,2021-01-04 23:10:45,0.000333158722268896,0.00405817873724962,0.00063104547422592,0.00418470909831072
link,1609890659,2021-01-05 23:50:59,3.926592958143099e-05,0.0020610946237899115,0.00063379101131568,0.00425925869615136
link,1609976935,2021-01-06 23:48:55,2.91078525447536e-05,0.001500063609552209,0.00065192322266208,0.0042939165516984
link,1610063829,2021-01-07 23:57:09,2.349462147950003e-05,0.001072115914085189,0.00066022530298272,0.0043146572317488
link,1610148922,2021-01-08 23:35:22,2.192217055098664e-05,0.0010223307149818148,0.00065991610511712,0.00432195724999296
link,1610235819,2021-01-09 23:43:39,2.013198516629793e-05,0.0008604870982695845,0.00066151579142304,0.00432108248865696
link,1610322154,2021-01-10 23:42:34,2.196695934421017e-05,0.0009438090494384435,0.00066591842137632,0.0043045537990248
link,1610409373,2021-01-11 23:56:13,7.01274343534925e-06,0.001010709906446982,0.00066880874749536,0.00430800893143488
link,1610494666,2021-01-12 23:37:46,6.92490030799175e-06,0.0010038305547876085,0.00067158998932896,0.00430936056218736
link,1610581416,2021-01-13 23:43:36,3.007994631034275e-05,0.002414011805966213,0.00067338237005568,0.00434474506141632
link,1610668237,2021-01-14 23:50:37,3.054080473150119e-05,0.0024324711591313095,0.00067630658949072,0.00434856479508288
link,1610755153,2021-01-15 23:59:13,2.433469255375114e-05,0.0021702982732755486,0.0006807723371712,0.00439132769276112
link,1610841421,2021-01-16 23:57:01,0.0001872652502576816,0.0031642037558325896,0.00069343843539744,0.00445405186613376
link,1610927266,2021-01-17 23:47:46,0.00017488598366921347,0.0031749809113151895,0.00070545533794272,0.00452741048359776
link,1611013807,2021-01-18 23:50:07,0.0001905727035744386,0.003929922600305966,0.00070948799637408,0.0046305800011296
link,1611100050,2021-01-19 23:47:30,0.0002007472989429413,0.004259313907115973,0.00071685980916048,0.00474832324403424
link,1611186609,2021-01-20 23:50:09,0.00019324074006917455,0.004135051740116792,0.00072319654262448,0.00486048160293552
link,1611273404,2021-01-21 23:56:44,0.00017626652580245825,0.003841860779886289,0.00072964485361008,0.00496283435131248
link,1611359900,2021-01-22 23:58:20,0.000138098260077127,0.003593358491427654,0.00065445277378752,0.00505787526742896
