asset,epoch,timestamp,supply,borrow,supply_ma30,borrow_ma30
wbtc,1606932045,2020-12-02 18:00:45,0.00011566625558216672,0.004218389331365646,0.0,0.0
wbtc,1607038625,2020-12-03 23:37:05,0.0020128712541602027,0.01759751404716107,0.0,0.0
wbtc,1607124194,2020-12-04 23:23:14,0.0024745895259803666,0.019511690878036593,0.0,0.0
wbtc,1607212446,2020-12-05 23:54:06,0.010128019480515804,0.03947349545145803,0.0,0.0
wbtc,1607297926,2020-12-06 23:38:46,0.000709305482045898,0.010446239529838168,0.0,0.0
wbtc,1607382370,2020-12-07 23:06:10,0.010363830842572566,0.03992297253522108,0.0,0.0
wbtc,1607470315,2020-12-08 23:31:55,4.762538204512182e-05,0.002576455884790287,0.0,0.0
wbtc,1607558389,2020-12-09 23:59:49,4.61746057527094e-05,0.0025522404979966893,0.0,0.0
wbtc,1607641185,2020-12-10 22:59:45,0.004378070520985589,0.02099522083825232,0.0,0.0
wbtc,1607728539,2020-12-11 23:15:39,0.004837920741439412,0.024684833942728582,0.0,0.0
wbtc,1607814985,2020-12-12 23:16:25,0.0034143304612632873,0.018831621098430243,0.0,0.0
wbtc,1607900838,2020-12-13 23:07:18,0.002632381790975262,0.016196092230068678,0.0,0.0
wbtc,1607989577,2020-12-14 23:46:17,0.002907015384565696,0.01760350262724455,0.0,0.0
wbtc,1608067127,2020-12-15 21:18:47,0.0024920832293105926,0.015698289294779982,0.0,0.0
wbtc,1608160936,2020-12-16 23:22:16,0.0021562023960488923,0.014285106778241097,0.0,0.0
wbtc,1608249571,2020-12-17 23:59:31,0.0022650065458773056,0.01464314894735206,0.0,0.0
wbtc,1608333795,2020-12-18 23:23:15,0.0025589101398566325,0.0160818486802268,0.0,0.0
wbtc,1608421353,2020-12-19 23:42:33,0.0019687754383579292,0.013428671757232738,0.0,0.0
wbtc,1608507769,2020-12-20 23:42:49,0.001976851139770968,0.013470161522812996,0.0,0.0
wbtc,1608590692,2020-12-21 22:44:52,0.0020590566448970443,0.013916191766131411,0.0,0.0
wbtc,1608680895,2020-12-22 23:48:15,0.0020312534648203005,0.013729652085274434,0.0,0.0
wbtc,1608765813,2020-12-23 23:23:33,0.001265446241086718,0.009823685287847368,0.0,0.0
wbtc,1608854200,2020-12-24 23:56:40,0.001345805675291747,0.010272573416673147,0.0,0.0
wbtc,1608940465,2020-12-25 23:54:25,0.0019351960746373737,0.013901809128442598,0.0,0.0
wbtc,1609026838,2020-12-26 23:53:58,0.0020571611632273718,0.013363035452003322,0.0,0.0
wbtc,1609112785,2020-12-27 23:46:25,0.0016196011847600309,0.011686574279407294,0.0,0.0
wbtc,1609199933,2020-12-28 23:58:53,0.0013567786851568068,0.0095437824254713,0.0,0.0
wbtc,1609286347,2020-12-29 23:59:07,0.00124874331557278,0.008393362414033299,0.0,0.0
wbtc,1609372641,2020-12-30 23:57:21,0.0006122879600082232,0.0037951142698546673,0.0,0.0
wbtc,1609459197,2020-12-31 23:59:57,0.0005326247274921315,0.0033222509195518367,0.0,0.0
wbtc,1609545478,2021-01-01 23:57:58,0.0005115472266943147,0.003203594101845823,0.00706166491551408,0.02145558552633648
wbtc,1609631961,2021-01-02 23:59:21,0.00046792615907456723,0.004574077224140577,0.00710832595040064,0.02150642061414864
wbtc,1609718293,2021-01-03 23:58:13,0.0005249552369173155,0.0046633645754409515,0.0069824359117008,0.02087554768189344
wbtc,1609804668,2021-01-04 23:57:48,0.00045469410324340846,0.005047219808121464,0.00676526433474672,0.01998327639753792
wbtc,1609888195,2021-01-05 23:09:55,0.00040570822275060357,0.0035576581427965823,0.00654639194972592,0.01908617217892416
wbtc,1609977358,2021-01-06 23:55:58,0.00032308253770508,0.0031394343669059804,0.0019051740651888,0.01110115705017024
wbtc,1610063942,2021-01-07 23:59:02,0.0003066615869327417,0.0026018371644859284,0.00192774488748768,0.010955421102348
wbtc,1610150378,2021-01-08 23:59:38,0.00031632461973568827,0.003093693092074709,0.00192463033473216,0.01098412525974096
wbtc,1610234211,2021-01-09 23:16:51,0.0004262234136091688,0.004147259834813354,0.00188312592370752,0.01077853995494496
wbtc,1610323181,2021-01-10 23:59:41,0.000460518794390506,0.004854577289842185,0.00174062328501744,0.01009911913625808
wbtc,1610409477,2021-01-11 23:57:57,0.0003384629801331574,0.00421022986292459,0.00163025879723424,0.00948028974500736
wbtc,1610495772,2021-01-12 23:56:12,0.0003471160182059371,0.004484866115135999,0.00154928204464896,0.00908343798399792
wbtc,1610582157,2021-01-13 23:55:57,0.00026880168109515075,0.002851705706712725,0.0014635143057312,0.008614660469544
wbtc,1610667691,2021-01-14 23:41:31,0.00031196233062717065,0.0036564807670647443,0.00138910900275072,0.00817928170114752
wbtc,1610755005,2021-01-15 23:56:45,0.00030324668114744353,0.0036009961999102598,0.00132223823894736,0.00775686375350352
wbtc,1610839497,2021-01-16 23:24:57,0.0002825164196294298,0.003189782287563226,0.00127164845517264,0.00739197308389824
wbtc,1610927224,2021-01-17 23:47:04,0.0002999296606432708,0.003445004158245911,0.00119571726958704,0.00696390215593536
wbtc,1611014383,2021-01-18 23:59:43,0.0005289568069791414,0.007176840457666459,0.00113105983912992,0.00660166154817984
wbtc,1611098258,2021-01-19 23:17:38,0.005224749417316304,0.0282492584801076,0.00123342860148768,0.007052170954464
wbtc,1611186533,2021-01-20 23:48:53,0.005079682126519996,0.02784831294617026,0.00134157275587872,0.00754070622072912
wbtc,1611273561,2021-01-21 23:59:21,0.0003878061314257885,0.005545274268586951,0.00140023316780928,0.00743289052134672
