epoch,btc_price,volume_binance_futures,volume_hitbtc_derivatives,volume_poloniex_futures,volume_perpetual_protocol,volume_huobi_dm,volume_bitfinex_futures,volume_bitforex_futures,volume_kraken_futures,volume_bitget_futures,volume_okex_swap,volume_mxc_futures,volume_bybit,volume_bingx_futures,volume_kumex,volume_gate_futures,volume_bitmex,volume_deribit,volume_dydx_perpetual,volume_crypto_com_futures,sum,date
1659744000,23225.04,39582.737597520005,0.023225040000000002,6.08496048,0.023225040000000002,1104.30420192,106.97453424000001,2769.0286190399997,110.7834408,4119.84339552,11319.55934544,3285.8786592,6274.8716320799995,5435.30966112,2445.55026192,1744.33985424,480.66542784,491.04702072000003,1175.79087504,18822.0,99274.8159372,2022-08-06 00:00:00+00:00
1659830400,22984.58,27557.84486718,0.02298458,5.3554071400000005,0.02298458,845.99343606,42.91221086000001,2597.44141664,52.060073700000004,3378.2735684,7890.1466224000005,1667.9679860200001,4344.154573740001,3026.42561776,1610.9662276200002,1214.5281917800003,357.15738862,272.59711880000003,558.6172323200001,16659.0,72081.4879082,2022-08-07 00:00:00+00:00
1659916800,23197.6,41505.4242912,0.0231976,7.3768367999999995,0.0231976,1183.889516,43.9130568,2836.5561328,89.0555864,5256.808136,11781.1795312,2098.0141416,7090.068068799999,5333.5225992,2580.2922456,1880.9310008,422.77626,461.60904239999996,822.1925368,24907.0,108300.65537759998,2022-08-08 00:00:00+00:00
1660003200,23823.68,49975.815012160005,0.02382368,8.31446432,0.02382368,1403.07180992,67.80219328,3107.15581664,112.30482751999999,5376.55192608,14004.48822752,2641.59346208,8122.350164480001,5632.7517808,3431.49139616,2302.7969088,819.43929728,562.62002688,1050.21928544,39130.0,137748.81424672,2022-08-09 00:00:00+00:00
1660089600,23203.68,56782.23580896,0.02320368,9.304675679999999,0.02320368,1794.03892656,117.2946024,3106.55508576,151.984104,5807.74188192,16593.43884528,4080.04227648,10600.09072704,9679.92559296,3711.4054123200003,2728.10306496,783.40264416,748.9219756800001,1326.18312672,40919.0,158939.71515824005,2022-08-10 00:00:00+00:00
1660176000,23948.83,69859.50347256,0.02394883,11.7349267,0.02394883,1929.7967214,120.36681958000001,3853.19910519,165.51036413000003,6276.413571080001,18876.204368870003,6336.93226449,12009.188701160001,12191.10401384,4438.58035688,3382.9638281400003,770.24227046,786.59932135,1793.95895764,53357.0,196159.34696112998,2022-08-11 00:00:00+00:00
1660262400,23948.75,53836.9336925,0.02394875,7.73544625,0.02394875,1423.25026375,71.82230125,3746.255065,91.26868625,5641.9902175,14050.27659875,3738.99859375,8858.28339375,7508.316305,3633.91147875,2269.00037,553.57535625,588.44473625,1039.25600625,54051.0,161110.36640875,2022-08-12 00:00:00+00:00
1660348800,24411.38,52078.94515544,0.02441138,10.057488560000001,0.02441138,1394.5244938800001,84.95160240000001,3511.72348128,104.13894708,5447.716794940001,15609.78370686,3673.44887378,8913.009831460002,7076.370834400001,3793.13786992,2321.0828331600005,625.7613149200001,574.47300554,1147.6766193199999,43612.0,149978.85167570002,2022-08-13 00:00:00+00:00
1660435200,24433.65,38596.761824400004,0.02443365,9.01601685,0.02443365,1048.9854618000002,60.9375231,3111.99183225,78.01664445,4845.632600700001,11484.0598365,2531.8881139500004,6417.204968700001,4653.02213775,2803.8346384500005,1623.1518031500002,438.75505305,278.20153890000006,727.3164595500001,42250.0,120958.82532085002,2022-08-14 00:00:00+00:00
1660521600,24312.54,66773.175483,0.02431254,10.940643,0.02431254,1580.26647492,62.02128954,3832.2641175,124.6017675,7149.19963716,19169.854289040002,5102.8860829800005,11569.43822202,8101.740641820001,4354.3029763800005,2896.9850162400003,756.55761972,619.3862690400001,1234.76096898,54345.0,187683.43012392,2022-08-15 00:00:00+00:00
1660608000,24179.01,51155.43474096,0.024179009999999997,8.24504241,0.024179009999999997,1233.4921951499998,54.76545765,3741.7017974999994,101.45512595999999,5065.67184807,14235.198705419998,3944.1284692199997,8029.486535849999,6690.62221512,3176.9284819199997,2031.6171362399998,541.63400301,454.29941888999997,892.5439751399999,55867.0,157224.27350652998,2022-08-16 00:00:00+00:00
1660694400,23913.33,58979.071885440004,0.023913330000000003,9.49359201,0.023913330000000003,1594.0625778,80.03791551,3515.06820336,121.16884311000001,6415.539912390001,17508.28803948,4310.305992510001,10319.295381570002,7764.87347097,3948.3777429600004,2201.38941981,706.99760145,633.4641117000001,1296.29379264,76628.0,196031.77630937,2022-08-17 00:00:00+00:00
1660780800,23359.42,48746.25078064,0.02335942,8.666344819999999,0.02335942,1119.5469223399998,57.67440798,3484.38452488,114.64803335999999,4569.6865375,13729.40566732,3553.15465736,8227.6549124,5738.334960679999,3271.27653622,2010.2649663599998,527.61921954,563.3357727199999,926.92514502,102570.0,199218.87610798003,2022-08-18 00:00:00+00:00
1660867200,23248.38,72962.50655658,0.023248380000000003,11.391706200000002,0.023248380000000003,1881.7006288200002,106.50082878,4001.65065588,211.60675476000003,8042.80030938,21745.4884749,5867.1936606,14875.9409106,17082.258669360002,4807.34651316,2739.7750862400003,1030.7169273000002,1163.72090928,1350.8936166600001,158795.0,316676.53870526,2022-08-19 00:00:00+00:00
1660953600,20945.83,52365.70607482001,0.020945830000000002,9.886431760000002,0.020945830000000002,1213.4547693900001,74.54620897,3432.85397036,135.45668261,4801.81058167,14886.473676790001,4095.26584411,10235.11699201,8849.257095890001,3729.2374648600003,2598.97953223,622.15398849,637.00458196,1001.5876989400001,83162.0,191850.83348652004,2022-08-20 00:00:00+00:00
1661040000,21175.23,46546.43770065,0.02117523,7.85601033,0.02117523,1161.27078843,63.86449368,2977.1526370799997,117.22607328,4976.87783259,14561.69746548,3344.56405281,9142.80788187,7057.13242779,3268.31204958,2372.19749121,491.71001583,446.98793007,901.32366495,48413.0,145850.46086609,2022-08-21 00:00:00+00:00
1661126400,21615.76,48557.967500399995,0.021615759999999998,6.41988072,0.021615759999999998,1083.3170439199998,65.58221583999999,3491.4424024799996,91.86698,5482.42682456,13877.92316128,3940.3368903999994,9320.564401679998,6687.591907599999,3118.67862128,2181.11664704,560.5398883199999,469.27814959999995,845.58691544,64639.0,164419.68266207998,2022-08-22 00:00:00+00:00
1661212800,21387.75,56488.87615725,0.02138775,7.37877375,0.02138775,1105.8750015,65.42512725,3500.55443025,119.27948175,5867.3014575,15631.21569975,3584.13775725,10581.73902675,8154.464667,3705.19242225,2408.32481325,620.56556625,553.96411275,1034.995998,64500.0,177929.33326800002,2022-08-23 00:00:00+00:00
1661299200,21562.45,48692.17365285,0.02156245,10.45778825,0.02156245,986.3958377,53.388626200000004,3398.6518065500004,100.6535166,5231.97755535,13804.30205245,3097.85562905,8859.816642950002,7564.9268331,3037.00639515,2040.8427676000001,515.6875542,514.50161945,908.9003924,56527.0,155344.58179475,2022-08-24 00:00:00+00:00
1661385600,21395.46,44692.2275529,0.021395459999999998,8.72934768,0.021395459999999998,893.83813242,44.11743851999999,3014.98403682,86.5446357,5477.4303191399995,12622.337208840001,2637.6964951799996,8375.95886718,5471.37540396,2959.56979542,1947.9496556999998,506.40914273999994,451.50839238,751.81506894,51916.0,141858.53428444,2022-08-25 00:00:00+00:00
1661472000,21618.01,46291.142027229995,0.02161801,8.733676039999999,0.02161801,1129.67073056,54.54223923,3122.57021843,109.6033107,5703.868702479999,14972.828288089999,3362.18424127,9120.50871094,7983.4230029499995,3228.13096126,2087.82416978,620.50174103,742.4056994199999,785.1012691699999,49786.0,149109.08222460002,2022-08-26 00:00:00+00:00
1661558400,20271.32,65510.966743239995,0.02027132,11.06814072,0.02027132,1588.764705,91.97097884,3479.14638028,179.401182,7296.904889840001,19911.6054266,7157.3976655999995,13339.76511052,11735.93881476,4268.4710384400005,2939.4832992399997,738.1801178,843.6923383999999,1215.93458756,42357.0,182665.73196148002,2022-08-27 00:00:00+00:00
1661644800,20069.95,34577.5936373,0.02006995,7.205112049999999,0.02006995,842.4160813000001,37.6913661,2968.08469565,99.145553,4153.93776135,10983.4005572,3079.3926383499997,6548.664125400001,5135.358316350001,2488.61359015,1718.6500283500002,443.4656152,351.0234255,691.14886815,26180.0,100305.83151129998,2022-08-28 00:00:00+00:00
1661731200,19659.25,41910.8080235,0.01965925,4.26605725,0.01965925,998.9651295,45.2555935,2998.5467655,90.8650535,5213.0433225,12459.77707975,3551.0503275,7964.6305895,5968.5089815,3197.1838275,2070.45323225,573.83384825,427.64766525,758.7290945,18636.0,106869.60390974999,2022-08-29 00:00:00+00:00
1661817600,20308.86,50032.13575932,0.02030886,9.2405313,0.02030886,1148.48634186,57.250676340000005,3147.2437253400003,116.12606148,5872.87551708,14879.65183848,3783.62185344,9227.65548276,7272.76523688,3659.47379226,2356.61980554,605.0009394,544.9070226599999,1554.56199756,42517.0,146784.65719942,2022-08-30 00:00:00+00:00
1661904000,19805.35,67977.6255301,0.01980535,12.57639725,0.01980535,1474.29044865,58.267339699999994,3493.7825721,177.87184835,7351.844946749999,19743.65633475,6791.23470965,12722.4419009,10789.043633899999,4914.5787703999995,2596.3229422,825.1701024,745.9090917,1585.6955423999998,37582.0,178842.35172190005,2022-08-31 00:00:00+00:00
1661990400,20023.55,51023.2892622,0.020023549999999998,7.50883125,0.020023549999999998,1160.3847460499999,44.2119984,3403.7231702999998,133.89747885,6266.30990185,14772.4541067,8648.71188085,9295.312357449999,6995.64768705,3754.3555543499997,2376.7753614499998,813.7770955499999,472.69594485,1154.6379872,29437.0,139760.73341145,2022-09-01 00:00:00+00:00
1662076800,20153.98,50646.20604274,0.02015398,10.19791388,0.02015398,1354.58930376,50.143102240000005,3251.46174738,164.41616884,6462.05122332,16469.18752864,7621.04615118,10470.63753736,8063.18416442,3531.5819154,2323.753894,615.44208726,646.62029432,918.43702258,29579.0,142177.99640528,2022-09-02 00:00:00+00:00
1662163200,19941.45,41514.44961465,0.01994145,8.654589300000001,0.01994145,1007.14293225,52.10700885,3320.9693172,169.3826763,5083.215195150001,12214.397363850001,3848.5802013,7736.5647078,5878.99869885,3117.8058246,1770.6811112999999,527.3715867000001,395.3591877,796.08262545,28166.0,115607.80252415001,2022-09-03 00:00:00+00:00
