epoch,btc_price,date,volume_binance_futures,volume_hitbtc_derivatives,volume_poloniex_futures,volume_perpetual_protocol,volume_huobi_dm,volume_bitfinex_futures,volume_bitrue_futures,volume_bitforex_futures,volume_kraken_futures,volume_bitget_futures,volume_okex_swap,volume_mxc_futures,volume_bybit,volume_bingx_futures,volume_kumex,volume_gate_futures,volume_bitmex,volume_deribit,volume_dydx_perpetual,volume_crypto_com_futures,sum
1589500800,9796.49,2020-05-15 00:00:00+00:00,6059.031100099999,0.0,0.0,0.0,7951.174161149999,5.05498884,0.0,729.57399977,154.17715962,0.0,5258.63827412,0.0,2384.05421342,0.0,87.25733643,60.55210469,3968.15644291,509.63300277999997,0.0,0.0,27167.302783829997
1589587200,9309.3,2020-05-16 00:00:00+00:00,4518.7900758,0.0,0.0,0.0,6144.2217837,4.459154699999999,0.0,586.1507651999999,103.32392069999999,0.0,4104.5727723,0.0,1925.4332097,0.0,86.52063419999999,50.2050549,3196.5250317,373.87079729999994,0.0,0.0,21094.073200199997
1589673600,9375.3,2020-05-17 00:00:00+00:00,2716.2681678,0.0,0.0,0.0,3864.5736623999996,1.5562998,0.0,422.28226259999997,46.313982,0.0,2162.4504462,0.0,1062.1089864,0.0,73.52110259999999,25.997706899999997,1590.4071413999998,159.661359,0.0,0.0,12125.141117099996
1589760000,9666.33,2020-05-18 00:00:00+00:00,4666.15015026,0.0,0.0,0.0,6461.4002905199995,3.08355927,0.0,607.0358576699999,97.96825455,0.0,4106.4889759200005,0.0,1835.636067,0.0,80.25953799,52.51717089,3296.34419229,436.87945068,0.0,0.0,21643.763507040003
1589846400,9708.44,2020-05-19 00:00:00+00:00,3649.48026352,0.0,0.0,0.0,4984.86647708,2.19410744,0.0,473.32528376000005,90.26907512000001,0.0,2767.2063616400005,0.0,1596.0869528800001,0.0,71.23082428000001,33.76595432,2325.15196312,312.62147644,0.0,0.0,16306.1987396
1589932800,9760.2,2020-05-20 00:00:00+00:00,3734.9259738,0.0,0.0,0.0,4747.927371600001,1.512831,0.0,485.97011820000006,73.84567320000001,0.0,2878.9564338,0.0,1335.7028904000001,0.0,69.0631752,34.0533378,2102.4251616,283.37764680000004,0.0,0.0,15747.760613400002
1590019200,9526.51,2020-05-21 00:00:00+00:00,4173.01149342,0.0,0.0,0.0,5477.71467047,4.24882346,0.0,535.389862,89.69209165000001,0.0,3274.89023666,0.0,1484.02067478,0.0,72.68727129999999,43.41230607,2706.47196449,352.48087,0.0,0.0,18214.0202643
1590105600,9059.96,2020-05-22 00:00:00+00:00,5003.399149839999,0.0,0.0,0.0,6942.176230079999,4.38502064,0.0,665.30910264,79.53738883999999,0.0,3988.32123144,0.0,1857.4458193199998,0.0,85.69816163999998,51.804851279999994,2939.34094272,456.96626247999995,0.0,0.0,22074.384160920003
1590192000,9131.77,2020-05-23 00:00:00+00:00,2795.2987193900003,0.0,0.0,0.0,3822.3488912899998,1.58892798,0.0,407.46870917,43.16587679,0.0,1970.59943892,0.0,825.44808561,0.0,66.04096064,25.71506432,1510.0294872,190.79920238,0.0,0.0,11658.50336369
1590278400,9170.36,2020-05-24 00:00:00+00:00,2072.14371596,0.0,0.0,0.0,2848.41468996,0.74279916,0.0,296.73450888,20.954272600000003,0.0,1438.7928025600002,0.0,696.2870940800001,0.0,62.34010728,18.72587512,1198.63941488,104.14777852000002,0.0,0.0,8757.923059
1590364800,8731.85,2020-05-25 00:00:00+00:00,4189.54163,0.0,0.0,0.0,5416.60231495,2.6719461,0.0,500.08178135,89.88566390000001,0.0,3346.73473615,0.0,1585.24117195,0.0,74.1334065,39.45049830000001,2676.8970589500004,311.64845835,0.0,0.0,18232.888666499995
