date,aave_usdc_supply_ma30,aave_usdt_supply_ma30,aave_dai_supply_ma30,compound_usdc_supply_ma30,compound_usdt_supply_ma30,compound_dai_supply_ma30,count,mean
2020-01-08,0.0003887407962757,1.064581601270686e-05,0.0111119362450347,0.0,0.0,0.0,3,0.0038371076191077024
2020-01-09,0.00874605291950065,0.0020848761013969536,0.029318773135330052,0.0,0.0,0.0,3,0.013383234052075884
2020-01-10,0.019933454365324132,0.005398164640535069,0.09120187416629806,0.0,0.0,0.0,3,0.03884449772405242
2020-01-11,0.025596007865321173,0.010162746019041602,0.08026718718251077,0.0,0.0,0.0,3,0.03867531368895785
2020-01-12,0.028995695431882677,0.013233863502014461,0.07252029167046176,0.0,0.0,0.0,3,0.03824995020145296
2020-01-13,0.02799347898901312,0.011548320965341233,0.07080617228193141,0.0,0.0,0.0,3,0.03678265741209525
2020-01-14,0.03336748299562568,0.01028792343523333,0.06956425832085947,0.0,0.0,0.0,3,0.037739888250572826
2020-01-15,0.03520366657830167,0.009801098901427776,0.06740663646867266,0.0,0.0,0.0,3,0.037470467316134036
2020-01-16,0.03976235706775993,0.0096969480318062,0.06504691688828745,0.0,0.0,0.0,3,0.03816874066261786
2020-01-17,0.03968738688742135,0.009734714098883102,0.06411371711841089,0.0,0.0,0.0,3,0.03784527270157178
2020-01-18,0.03969342936606163,0.010213511585587873,0.06174451857496822,0.0,0.0,0.0,3,0.03721715317553924
2020-01-19,0.039043473987449055,0.01128044030091335,0.059304994754813885,0.0,0.0,0.0,3,0.036542969681058766
2020-01-20,0.03858208190677111,0.01186196860088064,0.057741844982695786,0.0,0.0,0.0,3,0.03606196516344918
2020-01-21,0.03827578010407597,0.01326013124460682,0.05567751549771758,0.0,0.0,0.0,3,0.035737808948800125
2020-01-22,0.038386094085656276,0.014544361775811513,0.05427034484291412,0.0,0.0,0.0,3,0.035733600234793966
2020-01-23,0.03842222140370099,0.015718357498979287,0.053535104193478344,0.0,0.0,0.0,3,0.03589189436538621
2020-01-24,0.03850741113764055,0.020833383242777736,0.058448017308134,0.0,0.0,0.0,3,0.03926293722951743
2020-01-25,0.038585997343421385,0.022182920188181302,0.058699044909980076,0.0,0.0,0.0,3,0.03982265414719425
2020-01-26,0.03935317563302251,0.024949673139891812,0.06032019628768011,0.0,0.0,0.0,3,0.04154101502019814
2020-01-27,0.04356198169081854,0.034416103305913506,0.059747040015553934,0.0,0.0,0.0,3,0.04590837500409533
2020-01-28,0.043330541987091846,0.03754207847513078,0.059930248943864686,0.0,0.0,0.0,3,0.04693428980202911
2020-01-29,0.04271177974420368,0.040533206991456766,0.05938153032209798,0.0,0.0,0.0,3,0.04754217235258614
2020-01-30,0.0428740889955933,0.04329991685059816,0.061476816035551496,0.0,0.0,0.0,3,0.04921694062724765
2020-01-31,0.04272889094509086,0.045625770916059655,0.062038826162614934,0.0,0.0,0.0,3,0.05013116267458848
2020-02-01,0.05087465260970611,0.047783426490320816,0.06216798128561568,0.0,0.0,0.0,3,0.05360868679521421
2020-02-02,0.051521360837374894,0.04741526054291377,0.06321177566767147,0.0,0.0,0.0,3,0.054049465682653376
2020-02-03,0.05108241773048076,0.04861109811626588,0.06421194480635722,0.0,0.0,0.0,3,0.05463515355103462
2020-02-04,0.05053434888870666,0.05448156330845072,0.06488015555384348,0.0,0.0,0.0,3,0.05663202258366695
2020-02-05,0.0501702217812392,0.056939522459239555,0.06567909108238171,0.0,0.0,0.0,3,0.05759627844095349
2020-02-06,0.0535207496404809,0.057332485148302643,0.06754651961984366,0.0,0.0,0.0,3,0.059466584802875734
2020-02-07,0.05684135294683767,0.05837915086021636,0.06924419700454232,0.0,0.0,0.0,3,0.061488233603865454
2020-02-08,0.058218281281953055,0.059454979639683284,0.07004824580925763,0.0,0.0,0.0,3,0.06257383557696465
2020-02-09,0.059318271866135315,0.06724102859634842,0.06653228689800045,0.0,0.0,0.0,3,0.06436386245349472
2020-02-10,0.0612417896295605,0.06943005617197905,0.06786349363921633,0.0,0.0,0.0,3,0.06617844648025195
2020-02-11,0.06330949980684952,0.07328650955922515,0.06792384089923051,0.0,0.0,0.0,3,0.0681732834217684
2020-02-12,0.0657001891921755,0.07979147090892956,0.06768983203443857,0.0,0.0,0.0,3,0.07106049737851454
2020-02-13,0.06407333035341524,0.08319905054890735,0.06744360759965587,0.0,0.0,0.0,3,0.07157199616732615
2020-02-14,0.06956053608356381,0.08793645133639298,0.06745972793005059,0.0,0.0,0.0,3,0.0749855717833358
2020-02-15,0.06791753677894642,0.0936942386377727,0.06851909149395302,0.0,0.0,0.0,3,0.07671028897022404
2020-02-16,0.06816014676398725,0.09986115427315553,0.06887261788233379,0.0,0.0,0.0,3,0.07896463963982553
2020-02-17,0.07265267316392712,0.1011150771297796,0.07191386000616277,0.0,0.0,0.0,3,0.08189387009995651
2020-02-18,0.07289030149908832,0.103895437403635,0.07259306772329241,0.0,0.0,0.0,3,0.08312626887533857
2020-02-19,0.07352242536621856,0.1075409858896523,0.07646593891123434,0.0,0.0,0.0,3,0.0858431167223684
2020-02-20,0.07527215820652576,0.10903918156180906,0.07838804938873674,0.0,0.0,0.0,3,0.08756646305235717
2020-02-21,0.0760821993644929,0.11396933975256007,0.07943842908142322,0.0,0.0,0.0,3,0.08982998939949206
2020-02-22,0.07608419927767285,0.11909328385759393,0.07988413321517514,0.0,0.0,0.0,3,0.0916872054501473
2020-02-23,0.07656618809327845,0.12023639343680625,0.07780470967158752,0.0,0.0,0.0,3,0.09153576373389073
